formulation_name,symptoms,ingredients,steps,dosage,category,product_link,doctor_type,description
Ajmoda Arka,"nausea vomiting indigestion bloating stomach discomfort loss of appetite painful digestion urinary infection painful urination frequent urination bladder inflammation urinary incontinence overactive bladder joint pain body pain inflammation","ajmoda seeds water","wash and dry ajmoda seeds grind into powder mix with water distill using heat collect liquid extract store in airtight container","","ark","","general physician urologist","supports digestion relieves urinary disorders reduces inflammation and improves appetite"
Ark Shabab Avar,"sluggishness indigestion","peppermint pudina sandalwood rose jatamansi cardamom ginger coriander fennel brahmi cinnamon nagarmotha tulsi kapur kachri bay leaf cloves saffron amber oranges apples betel leaves","coarsely grind herbs soak in water for 24 hours distill mixture collect one third अर्क repeat distillation adding fruits and aromatics","1–1 ounce 2 to 3 times a day","","","","improves digestion boosts metabolism and enhances overall vitality"
Brahmi Ark,"stress anxiety memory loss insomnia confusion mental unrest lack of concentration epilepsy hysteria fainting mood instability","brahmi leaves water","soak brahmi leaves in water overnight distill the mixture collect liquid extract store in airtight container","2 tola – 5 tola","ark","","neurologist psychiatrist","enhances memory reduces stress supports brain function and improves mental clarity"
Dugdha Ark,"anemia jaundice inflammation abdominal disorders chronic fever cough respiratory problems diarrhea indigestion bloating toxin accumulation fatigue weakness bleeding disorders","cow milk water","place cow milk in distillation apparatus heat and distill collect liquid extract store in airtight container","250–500 ml","ark","","general physician gastroenterologist pulmonologist","nourishes body improves digestion supports liver health and reduces inflammation"
Dashmool Ark,"inflammation joint pain muscle pain abdominal disorders indigestion bloating tumors cardiac disorders anxiety neuromuscular weakness headache insomnia","bilva agnimantha shyonaka patala gambhari shalaparni prishniparni brihati kantakari gokshura water","soak dashmool roots in water overnight distill mixture using arka yantra collect liquid extract store in airtight container","1 tola – 10 tola","ark","","general physician cardiologist neurologist","reduces inflammation supports joints improves digestion and strengthens nerves"
Gavjawan Ark,"stress anxiety mental fatigue insomnia palpitations hypertension cough sore throat bronchitis fever skin disorders burning urination urinary irritation","gavjawan leaves water","soak gavjawan leaves in water overnight distill mixture using arka yantra collect liquid extract store in airtight container","3 tola twice daily","ark","","general physician cardiologist neurologist pulmonologist","supports heart health reduces stress improves respiration and balances body systems"
Gorakhmundi Ark,"acne eczema itching skin infection rashes hyperpigmentation boils inflammation skin disorders digestive issues bloating toxin accumulation","gorakhmundi plant water","soak gorakhmundi in water overnight distill mixture using arka yantra collect liquid extract store in airtight container","2 to 5 tola 4 times daily","ark","","dermatologist general physician","purifies blood improves skin conditions reduces inflammation and supports digestion"
Hara-Bhara Ark,"tuberculosis chest injury burning urination urinary infection gonorrhea fever inflammation toxin accumulation infection weakness","lal chandan khas padmakh nagarmotha giloy pitt papda neem bark nilofer kasni beej saunf pumpkin seeds netrawala dhaniya tulsi seeds baheda dhamasa mundi mulethi cardamom poppy capsules water","mix all herbs soak in water overnight distill using arka yantra collect liquid extract store in airtight container","6 tola","ark","","general physician urologist pulmonologist","detoxifies body supports respiratory and urinary health and reduces infections"
Karpooradi Ark,"indigestion bloating gas loss of appetite anorexia obesity high cholesterol cardiac disorders bad breath inflammation joint pain toxin accumulation","camphor musk kasturi sandalwood patranga agaru devadaru tagara padmaka guggulu rala kunduru clove shilajit nutmeg cardamom cinnamon nagkesar jatamansi saffron durva bala musta kachura water","clean and dry herbs grind into coarse powder soak in water overnight distill mixture collect liquid extract store in airtight container","5–10 ml twice daily","ark","","general physician cardiologist gastroenterologist","improves digestion supports heart health reduces cholesterol and detoxifies body"
Mahamanjishtadi Ark,"skin disorders acne eczema psoriasis itching rashes blisters urticaria blood disorders inflammation gout toxin accumulation infection","manjistha nagarmotha kuda giloy kuth sonth bharangi kateri bach neem haldi daruhaldi harad baheda amla patolpatra kutki murva vayvidang vijaysar sal shatavari trayamana gorakhmundi indrajau adusa bhangra devdaru patha khairsar raktachandan nishoth varna bark chirayita bavchi amaltas shakhotak bakayan karanj atis netrabala indrayan dhamasa anantmool pittpapda water","mix all herbs powder soak in water overnight distill using arka yantra collect liquid extract store in airtight container","2 tola – 10 tola","ark","","dermatologist general physician","purifies blood treats skin disorders reduces inflammation and detoxifies body"
